Druten	  577,21	 1 773	  634,22	 1 752	  605,715
Duiven	  586,24	 2 314	  687,92	 2 304	  637,080
Echt-Susteren	  940,15	 2 484	 1 032,44	 2 475	  986,295
Edam-Volendam	  594,05	 3 551	  605,48	 3 428	  599,765
Ede	 5 527,11	 12 657	 5 727,39	 12 677	 5 627,250
Eemnes	  34,00	  896	  83,73	  859	  58,865
Eersel	  58,92	 1 666	  62,39	 1 706	  60,655
Eijsden-Margraten	  129,82	 1 878	  120,32	 1 947	  125,070
Eindhoven	 15 521,33	 20 541	 15 627,17	 20 663	 15 574,250
Elburg	  698,88	 2 755	  749,15	 2 699	  724,015
Emmen	 6 956,05	 9 950	 6 952,85	 9 740	 6 954,450
Enkhuizen	  842,19	 1 772	  857,40	 1 759	  849,795
Enschede	 13 667,88	 14 865	 13 391,42	 14 657	 13 529,650
Epe	 1 135,59	 2 944	 1 069,27	 2 930	 1 102,430
Ermelo	  361,54	 2 481	  608,20	 2 456	  484,870
Etten-Leur	 1 539,62	 4 398	 1 587,98	 4 333	 1 563,800
Geertruidenberg	  613,90	 2 064	  746,89	 2 045	  680,395
Geldrop-Mierlo	 1 480,46	 3 638	 1 658,41	 3 643	 1 569,435
Gemert-Bakel	  703,14	 3 111	  718,20	 3 138	  710,670
Gennep	  335,07	 1 599	  302,82	 1 557	  318,945
Gilze en Rijen	 1 905,49	 2 675	 1 511,32	 2 537	 1 708,405
Goeree-Overflakkee	  895,05	 4 913	 1 016,78	 4 895	  955,915
Goes	 1 538,74	 3 427	 1 247,88	 3 363	 1 393,310
Goirle	  234,29	 2 689	  284,08	 2 726	  259,185
Gooise Meren	  216,88	 7 114	  125,73	 6 844	  171,305
Gorinchem	 2 882,43	 3 933	 2 495,49	 3 828	 2 688,960
Gouda	 5 814,49	 7 817	 5 602,48	 7 735	 5 708,485
Grave	  485,51	 1 147	  443,46	 1 149	  464,485
's-Gravenhage	 81 336,63	 55 968	 81 496,59	 56 046	 81 416,610
Groningen	 7 065,13	 17 705	 7 708,61	 17 683	 7 386,870
Gulpen-Wittem	  228,97	  920	  264,65	  895	  246,810
Haaksbergen	  390,77	 2 244	  476,17	 2 185	  433,470
Haaren	  11,62	 1 167	  20,78	 1 143	  16,200
